x_axis,desired_pos,actual_pos,error,actual_vel,commanded_torque
1.010000000000000000e+02,1.260849999999999992e-02,-2.504920000000000063e-02,3.765770000000000228e-02,-3.891479999999999939e-01,1.052630000000000088e+01
1.020000000000000000e+02,1.319000000000000034e-02,-2.562680000000000166e-02,3.881679999999999853e-02,-1.155189999999999939e+00,1.052630000000000088e+01
1.030000000000000000e+02,1.380280000000000049e-02,-2.582150000000000070e-02,3.962430000000000119e-02,-3.893159999999999954e-01,1.052630000000000088e+01
1.040000000000000000e+02,1.438189999999999955e-02,-2.563309999999999894e-02,4.001499999999999502e-02,3.767750000000000266e-01,1.052630000000000088e+01
1.050000000000000000e+02,1.499110000000000026e-02,-2.506150000000000044e-02,4.005260000000000070e-02,1.143070000000000030e+00,-9.090469999999999828e+00
1.060000000000000000e+02,1.557019999999999932e-02,-2.410719999999999877e-02,3.967740000000000156e-02,1.908760000000000012e+00,-1.052630000000000088e+01
1.070000000000000000e+02,1.617800000000000141e-02,-2.277030000000000026e-02,3.894830000000000514e-02,2.673799999999999955e+00,-1.052630000000000088e+01
1.080000000000000000e+02,1.675700000000000106e-02,-2.177540000000000031e-02,3.853240000000000137e-02,1.989810000000000079e+00,-1.052630000000000088e+01
1.090000000000000000e+02,1.736460000000000087e-02,-2.116399999999999879e-02,3.852859999999999618e-02,1.222639999999999949e+00,-1.052630000000000088e+01
1.100000000000000000e+02,1.794110000000000149e-02,-2.093640000000000084e-02,3.887750000000000233e-02,4.552410000000000068e-01,1.052630000000000088e+01
1.110000000000000000e+02,1.858349999999999932e-02,-2.109219999999999845e-02,3.967569999999999431e-02,-3.116579999999999906e-01,1.052630000000000088e+01
1.120000000000000000e+02,1.912490000000000023e-02,-2.163119999999999973e-02,4.075610000000000344e-02,-1.077930000000000055e+00,1.052630000000000088e+01
1.130000000000000000e+02,1.976800000000000085e-02,-2.178729999999999903e-02,4.155530000000000335e-02,-3.122849999999999793e-01,1.052630000000000088e+01
1.140000000000000000e+02,2.030020000000000088e-02,-2.156059999999999921e-02,4.186080000000000356e-02,4.535930000000000240e-01,1.052630000000000088e+01
